,time,model_I,model_R,model_V,model_I_vega,model_R_vega,model_V_vega
90,2458578,13.41162050121999,13.084197957694688,14.085973104824664,12.96162050121999,12.874197957694687,14.065973104824664
91,2458579,13.34920293608204,13.035590617762,14.012486164019844,12.899202936082041,12.825590617762,13.992486164019844
92,2458580,13.413072600606153,13.088988604225687,14.090140050266523,12.963072600606154,12.878988604225686,14.070140050266524
93,2458581,13.516104767171537,13.17721610640923,14.220171176961966,13.066104767171538,12.967216106409229,14.200171176961966
94,2458582,13.60956479173684,13.2596921046236,14.344616168542043,13.159564791736841,13.049692104623599,14.324616168542043
95,2458583,13.63673963183533,13.294830064608963,14.389880565459631,13.18673963183533,13.084830064608962,14.369880565459631
96,2458584,13.561762115581995,13.218647123182148,14.281109152702935,13.111762115581996,13.008647123182147,14.261109152702936
97,2458585,13.450822220149714,13.117914392008966,14.134970494813064,13.000822220149715,12.907914392008966,14.114970494813065
98,2458586,13.362246420955582,13.046258514377971,14.028087274755702,12.912246420955583,12.83625851437797,14.008087274755702
99,2458587,13.375052401599742,13.05686956259284,14.043538899396172,12.925052401599743,12.84686956259284,14.023538899396172
100,2458588,13.47470235662701,13.139769149656583,14.165969357055854,13.02470235662701,12.929769149656583,14.145969357055854
101,2458589,13.581805765658157,13.24161776006316,14.311626860688232,13.131805765658157,13.03161776006316,14.291626860688233
102,2458590,13.650767793502407,13.309918071186697,14.411186491265784,13.200767793502408,13.099918071186696,14.391186491265785
103,2458591,13.592883040370662,13.247520316186385,14.32375124503302,13.142883040370663,13.037520316186384,14.30375124503302
104,2458592,13.487086842030177,13.146448920027563,14.179021669798072,13.037086842030178,12.936448920027562,14.159021669798072
105,2458593,13.387293735699526,13.06712306963816,14.0584214085987,12.937293735699527,12.85712306963816,14.038421408598701
106,2458594,13.364957238167964,13.0515309620238,14.033389384994546,12.914957238167965,12.8415309620238,14.013389384994547
107,2458595,13.422669161876929,13.094047308227982,14.099906187638222,12.97266916187693,12.88404730822798,14.079906187638223
108,2458596,13.548260891126017,13.205571956236152,14.262430181012089,13.098260891126017,12.995571956236152,14.24243018101209
109,2458597,13.631349159545262,13.2848528824134,14.37864813534038,13.181349159545263,13.0748528824134,14.358648135340381
110,2458598,13.615755792561902,13.269660462661346,14.35631793407472,13.165755792561903,13.059660462661345,14.33631793407472
111,2458599,13.528101693372637,13.183630005464028,14.232970784206596,13.078101693372638,12.973630005464027,14.212970784206597
112,2458600,13.408632148258999,13.082299495570961,14.082637702285691,12.958632148259,12.87229949557096,14.062637702285691
113,2458601,13.351280927270825,13.040360646729898,14.01700346776887,12.901280927270825,12.830360646729897,13.99700346776887
114,2458602,13.397519261020758,13.072546732077878,14.068783162075444,12.947519261020759,12.862546732077877,14.048783162075445
115,2458603,13.502380851018888,13.164599674278715,14.201975961948168,13.052380851018889,12.954599674278715,14.181975961948169
116,2458604,13.599116557128287,13.25410804099722,14.33312234146577,13.149116557128288,13.04410804099722,14.313122341465771
117,2458605,13.63673963183533,13.294830064608963,14.389880565459631,13.18673963183533,13.084830064608962,14.369880565459631
118,2458606,13.561527900984448,13.21547386554828,14.278835752963989,13.111527900984449,13.005473865548279,14.25883575296399
119,2458607,13.44685223959787,13.115460973788625,14.13053788691187,12.996852239597871,12.905460973788625,14.110537886911871
120,2458608,13.363920367495947,13.05077091368545,14.032173340044547,12.913920367495948,12.84077091368545,14.012173340044548
121,2458609,13.375052401599742,13.05686956259284,14.043538899396172,12.925052401599743,12.84686956259284,14.023538899396172
122,2458610,13.459404464122965,13.122306019368455,14.143695482016188,13.009404464122966,12.912306019368454,14.123695482016188
123,2458611,13.561762115581995,13.218647123182148,14.281109152702935,13.111762115581996,13.008647123182147,14.261109152702936
124,2458612,13.637768682846318,13.295415169258288,14.391075775785165,13.187768682846318,13.085415169258287,14.371075775785165
125,2458613,13.599116557128287,13.25410804099722,14.33312234146577,13.149116557128288,13.04410804099722,14.313122341465771
126,2458614,13.488573013147626,13.15211806300685,14.183905304652708,13.038573013147627,12.942118063006848,14.163905304652708
127,2458615,13.387293735699526,13.06712306963816,14.0584214085987,12.937293735699527,12.85712306963816,14.038421408598701
